PLOT_ID,SAMPLE_ID,LON,LAT,FLAGGED,ANALYSES,USER_ID,ANALYSIS_DURATION,IMAGERY_TITLE,PL_PLOTID,PL_PACKETID,PL_ORIGID,PL_COUNTRY,PL_STRATUM,LAND COVER,UNDERSTORY PRESENT?,UNDERSTORY COVER,LAND USE,LAND USE YEAR 2000
1,1,98.749375,16.7871250000114,FALSE,0,potapove@user.com,0,NA,9991095,NA,1095,Vietnam,3,Other,No,NA,Other,Other
1,2,98.749375,16.7871250000114,FALSE,0,potapove@user.com,0,NA,9991095,NA,1095,Vietnam,3,Other,No,NA,Other,Other
1,3,98.749375,16.7871250000114,FALSE,0,potapove@user.com,0,NA,9991095,NA,1095,Vietnam,3,Other,No,NA,Other,Other
1,4,98.749375,16.7871250000114,FALSE,0,potapove@user.com,0,NA,9991095,NA,1095,Vietnam,3,Other,No,NA,Other,Other
1,5,98.749375,16.7871250000114,FALSE,0,potapove@user.com,0,NA,9991095,NA,1095,Vietnam,3,Other,No,NA,Other,Other
1,6,98.749375,16.7871250000114,FALSE,0,potapove@user.com,0,NA,9991095,NA,1095,Vietnam,3,Other,No,NA,Other,Other
1,7,98.749375,16.7871250000114,FALSE,0,potapove@user.com,0,NA,9991095,NA,1095,Vietnam,3,Other,No,NA,Other,Other
1,8,98.749375,16.7871250000114,FALSE,0,potapove@user.com,0,NA,9991095,NA,1095,Vietnam,3,Other,No,NA,Other,Other
1,9,98.749375,16.7871250000114,FALSE,0,potapove@user.com,0,NA,9991095,NA,1095,Vietnam,3,Other,No,NA,Other,Other
1,10,98.749375,16.7871250000114,FALSE,0,potapove@user.com,0,NA,9991095,NA,1095,Vietnam,3,Other,No,NA,Other,Other
1,11,98.749375,16.7871250000114,FALSE,0,potapove@user.com,0,NA,9991095,NA,1095,Vietnam,3,Other,No,NA,Other,Other
1,12,98.749375,16.7871250000114,FALSE,0,potapove@user.com,0,NA,9991095,NA,1095,Vietnam,3,Other,No,NA,Other,Other
1,13,98.749375,16.7871250000114,FALSE,0,potapove@user.com,0,NA,9991095,NA,1095,Vietnam,3,Other,No,NA,Other,Other
1,14,98.749375,16.7871250000114,FALSE,0,potapove@user.com,0,NA,9991095,NA,1095,Vietnam,3,Other,No,NA,Other,Other
1,15,98.749375,16.7871250000114,FALSE,0,potapove@user.com,0,NA,9991095,NA,1095,Vietnam,3,Other,No,NA,Other,Other
1,16,98.749375,16.7871250000114,FALSE,0,potapove@user.com,0,NA,9991095,NA,1095,Vietnam,3,Other,No,NA,Other,Other
1,17,98.749375,16.7871250000114,FALSE,0,potapove@user.com,0,NA,9991095,NA,1095,Vietnam,3,Other,No,NA,Other,Other
1,18,98.749375,16.7871250000114,FALSE,0,potapove@user.com,0,NA,9991095,NA,1095,Vietnam,3,Other,No,NA,Other,Other
1,19,98.749375,16.7871250000114,FALSE,0,potapove@user.com,0,NA,9991095,NA,1095,Vietnam,3,Other,No,NA,Other,Other
1,20,98.749375,16.7871250000114,FALSE,0,potapove@user.com,0,NA,9991095,NA,1095,Vietnam,3,Other,No,NA,Other,Other
1,21,98.749375,16.7871250000114,FALSE,0,potapove@user.com,0,NA,9991095,NA,1095,Vietnam,3,Other,No,NA,Other,Other
1,22,98.749375,16.7871250000114,FALSE,0,potapove@user.com,0,NA,9991095,NA,1095,Vietnam,3,Other,No,NA,Other,Other
1,23,98.749375,16.7871250000114,FALSE,0,potapove@user.com,0,NA,9991095,NA,1095,Vietnam,3,Other,No,NA,Other,Other
1,24,98.749375,16.7871250000114,FALSE,0,potapove@user.com,0,NA,9991095,NA,1095,Vietnam,3,Other,No,NA,Other,Other
2,1,100.931875,17.9078750000117,FALSE,0,potapove@user.com,0,NA,9991852,NA,1852,Vietnam,3,Other,No,NA,Other,Other
2,2,100.931875,17.9078750000117,FALSE,0,potapove@user.com,0,NA,9991852,NA,1852,Vietnam,3,Other,No,NA,Other,Other
2,3,100.931875,17.9078750000117,FALSE,0,potapove@user.com,0,NA,9991852,NA,1852,Vietnam,3,Other,No,NA,Other,Other
2,4,100.931875,17.9078750000117,FALSE,0,potapove@user.com,0,NA,9991852,NA,1852,Vietnam,3,Other,No,NA,Other,Other
2,5,100.931875,17.9078750000117,FALSE,0,potapove@user.com,0,NA,9991852,NA,1852,Vietnam,3,Other,No,NA,Other,Other
2,6,100.931875,17.9078750000117,FALSE,0,potapove@user.com,0,NA,9991852,NA,1852,Vietnam,3,Other,No,NA,Other,Other
2,7,100.931875,17.9078750000117,FALSE,0,potapove@user.com,0,NA,9991852,NA,1852,Vietnam,3,Other,No,NA,Other,Other
2,8,100.931875,17.9078750000117,FALSE,0,potapove@user.com,0,NA,9991852,NA,1852,Vietnam,3,Other,No,NA,Other,Other
2,9,100.931875,17.9078750000117,FALSE,0,potapove@user.com,0,NA,9991852,NA,1852,Vietnam,3,Other,No,NA,Other,Other
2,10,100.931875,17.9078750000117,FALSE,0,potapove@user.com,0,NA,9991852,NA,1852,Vietnam,3,Other,No,NA,Other,Other
2,11,100.931875,17.9078750000117,FALSE,0,potapove@user.com,0,NA,9991852,NA,1852,Vietnam,3,Other,No,NA,Other,Other
2,12,100.931875,17.9078750000117,FALSE,0,potapove@user.com,0,NA,9991852,NA,1852,Vietnam,3,Other,No,NA,Other,Other
2,13,100.931875,17.9078750000117,FALSE,0,potapove@user.com,0,NA,9991852,NA,1852,Vietnam,3,Other,No,NA,Other,Other
2,14,100.931875,17.9078750000117,FALSE,0,potapove@user.com,0,NA,9991852,NA,1852,Vietnam,3,Other,No,NA,Other,Other
2,15,100.931875,17.9078750000117,FALSE,0,potapove@user.com,0,NA,9991852,NA,1852,Vietnam,3,Other,No,NA,Other,Other
2,16,100.931875,17.9078750000117,FALSE,0,potapove@user.com,0,NA,9991852,NA,1852,Vietnam,3,Other,No,NA,Other,Other
2,17,100.931875,17.9078750000117,FALSE,0,potapove@user.com,0,NA,9991852,NA,1852,Vietnam,3,Other,No,NA,Other,Other
2,18,100.931875,17.9078750000117,FALSE,0,potapove@user.com,0,NA,9991852,NA,1852,Vietnam,3,Other,No,NA,Other,Other
2,19,100.931875,17.9078750000117,FALSE,0,potapove@user.com,0,NA,9991852,NA,1852,Vietnam,3,Other,No,NA,Other,Other
2,20,100.931875,17.9078750000117,FALSE,0,potapove@user.com,0,NA,9991852,NA,1852,Vietnam,3,Other,No,NA,Other,Other
2,21,100.931875,17.9078750000117,FALSE,0,potapove@user.com,0,NA,9991852,NA,1852,Vietnam,3,Other,No,NA,Other,Other
2,22,100.931875,17.9078750000117,FALSE,0,potapove@user.com,0,NA,9991852,NA,1852,Vietnam,3,Other,No,NA,Other,Other
2,23,100.931875,17.9078750000117,FALSE,0,potapove@user.com,0,NA,9991852,NA,1852,Vietnam,3,Other,No,NA,Other,Other
2,24,100.931875,17.9078750000117,FALSE,0,potapove@user.com,0,NA,9991852,NA,1852,Vietnam,3,Other,No,NA,Other,Other
3,1,102.043625,16.0323750000111,FALSE,0,potapove@user.com,0,NA,9991090,NA,1090,Vietnam,3,Other Tree,No,NA,Other,Other
3,2,102.043625,16.0323750000111,FALSE,0,potapove@user.com,0,NA,9991090,NA,1090,Vietnam,3,Other Tree,No,NA,Other,Other
3,3,102.043625,16.0323750000111,FALSE,0,potapove@user.com,0,NA,9991090,NA,1090,Vietnam,3,Other Tree,No,NA,Other,Other
3,4,102.043625,16.0323750000111,FALSE,0,potapove@user.com,0,NA,9991090,NA,1090,Vietnam,3,Other Tree,No,NA,Other,Other
3,5,102.043625,16.0323750000111,FALSE,0,potapove@user.com,0,NA,9991090,NA,1090,Vietnam,3,Other Tree,No,NA,Other,Other
3,6,102.043625,16.0323750000111,FALSE,0,potapove@user.com,0,NA,9991090,NA,1090,Vietnam,3,Other Tree,No,NA,Other,Other
3,7,102.043625,16.0323750000111,FALSE,0,potapove@user.com,0,NA,9991090,NA,1090,Vietnam,3,Other Tree,No,NA,Other,Other
3,8,102.043625,16.0323750000111,FALSE,0,potapove@user.com,0,NA,9991090,NA,1090,Vietnam,3,Other Tree,No,NA,Other,Other
3,9,102.043625,16.0323750000111,FALSE,0,potapove@user.com,0,NA,9991090,NA,1090,Vietnam,3,Other Tree,No,NA,Other,Other
3,10,102.043625,16.0323750000111,FALSE,0,potapove@user.com,0,NA,9991090,NA,1090,Vietnam,3,Other Tree,No,NA,Other,Other
3,11,102.043625,16.0323750000111,FALSE,0,potapove@user.com,0,NA,9991090,NA,1090,Vietnam,3,Other Tree,No,NA,Other,Other
