X,Y,ID,Dynamics,Notes
103.990125,20.6368750000121,"8",,
104.217125,18.6856250000119,"24",Tree_cover_rotation,
105.753375,15.8563750000111,"33",,
103.443875,19.353125000012,"49",Tree_cover_rotation,
102.346125,21.722875000012,"55",Tree_cover_gain,
104.495375,18.1836250000118,"57",,
102.625875,19.0256250000119,"61",,
105.995875,14.3761250000105,"66",,
102.945875,19.0711250000119,"68",Tree_cover_rotation,
101.993375,21.666625000012,"69",Tree_cover_rotation,
106.764625,15.584875000011,"84",,
103.390875,19.425875000012,"86",,
102.569875,21.046625000012,"90",Tree_cover_rotation_partial,
106.140875,17.1566250000115,"94",,
101.950125,19.995125000012,"122",Tree_cover_rotation,
105.767375,15.9061250000111,"127",,
101.738375,22.2626250000119,"129",,
100.643625,20.8793750000119,"133",,
105.799875,14.2783750000105,"141",,
106.302625,16.2628750000112,"147",,
106.325875,17.0046250000115,"159",,
101.774375,22.0306250000119,"163",,
101.110875,19.8831250000119,"191",,
106.474625,14.9561250000108,"195",,
104.256625,20.2893750000121,"206",,
106.230375,15.7673750000111,"224",,
104.042875,18.4133750000119,"233",,
101.706375,18.8643750000118,"237",,
102.825625,18.6748750000119,"270",,
105.694375,17.1928750000116,"278",,
103.034125,19.280625000012,"286",,
105.268125,17.2633750000116,"295",Tree_cover_loss,
104.737875,18.6861250000119,"296",Tree_cover_rotation,
102.389375,21.243625000012,"305",Tree_cover_rotation,
101.548875,18.8298750000118,"306",Tree_cover_rotation_partial,
103.863125,20.1553750000121,"315",Tree_cover_gain,Bad_data
105.104875,17.9781250000118,"324",,
103.256875,19.134875000012,"325",,
105.019875,17.5976250000117,"342",,
107.386375,15.9291250000111,"344",,
105.928875,14.4193750000105,"348",,
103.150625,18.7131250000119,"350",,
105.065625,17.6756250000117,"355",,
103.954875,20.2553750000121,"358",,
101.447875,19.6996250000119,"367",,
105.483375,16.7213750000114,"370",Tree_cover_rotation,
102.221875,18.8773750000119,"372",,
101.483125,18.3851250000117,"373",,
107.161375,15.714625000011,"424",,
106.784125,16.2096250000112,"427",,
102.274375,22.028375000012,"432",,
102.590375,19.1971250000119,"433",,
102.105375,19.0471250000119,"435",,
103.530125,20.4836250000121,"444",,
101.388125,18.7003750000118,"456",,
102.210875,20.774125000012,"463",,
104.085625,20.4761250000121,"472",Tree_cover_rotation,
103.851375,19.065875000012,"487",,
101.748625,19.8208750000119,"489",,
103.114125,20.6741250000121,"493",Tree_cover_rotation,
103.724125,18.8933750000119,"503",,
102.914625,19.823875000012,"506",,
102.867625,18.8048750000119,"511",,
101.944375,19.732375000012,"513",,
102.258375,18.4226250000118,"521",Tree_cover_gain_partial,
