LON,LAT,PL_ORIGID,Dynamics,PLOT_ID,SAMPLE_ID,FLAGGED,ANALYSES,USER_ID,COLLECTION_TIME,ANALYSIS_DURATION,IMAGERY_TITLE,PL_PLOTID,PL_PACKETID,PL_COUNTRY,PL_STRATUM,LAND COVER,UNDERSTORY PRESENT?,UNDERSTORY COVER,LAND USE,LAND USE YEAR 2000
96.041625,25.150375,1815,NA,1,1,FALSE,0,potapove@user.com,0,0,NA,9991815,NA,Myanmar,3,Other,No,NA,Other,Other
96.041625,25.150375,1815,NA,1,2,FALSE,0,potapove@user.com,0,0,NA,9991815,NA,Myanmar,3,Other,No,NA,Other,Other
96.041625,25.150375,1815,NA,1,3,FALSE,0,potapove@user.com,0,0,NA,9991815,NA,Myanmar,3,Other,No,NA,Other,Other
96.041625,25.150375,1815,NA,1,4,FALSE,0,potapove@user.com,0,0,NA,9991815,NA,Myanmar,3,Other,No,NA,Other,Other
96.041625,25.150375,1815,NA,1,5,FALSE,0,potapove@user.com,0,0,NA,9991815,NA,Myanmar,3,Other,No,NA,Other,Other
96.041625,25.150375,1815,NA,1,6,FALSE,0,potapove@user.com,0,0,NA,9991815,NA,Myanmar,3,Other,No,NA,Other,Other
96.041625,25.150375,1815,NA,1,7,FALSE,0,potapove@user.com,0,0,NA,9991815,NA,Myanmar,3,Other,No,NA,Other,Other
96.041625,25.150375,1815,NA,1,8,FALSE,0,potapove@user.com,0,0,NA,9991815,NA,Myanmar,3,Other,No,NA,Other,Other
96.041625,25.150375,1815,NA,1,9,FALSE,0,potapove@user.com,0,0,NA,9991815,NA,Myanmar,3,Other,No,NA,Other,Other
96.041625,25.150375,1815,NA,1,10,FALSE,0,potapove@user.com,0,0,NA,9991815,NA,Myanmar,3,Other,No,NA,Other,Other
96.041625,25.150375,1815,NA,1,11,FALSE,0,potapove@user.com,0,0,NA,9991815,NA,Myanmar,3,Other,No,NA,Other,Other
96.041625,25.150375,1815,NA,1,12,FALSE,0,potapove@user.com,0,0,NA,9991815,NA,Myanmar,3,Other,No,NA,Other,Other
96.041625,25.150375,1815,NA,1,13,FALSE,0,potapove@user.com,0,0,NA,9991815,NA,Myanmar,3,Other,No,NA,Other,Other
96.041625,25.150375,1815,NA,1,14,FALSE,0,potapove@user.com,0,0,NA,9991815,NA,Myanmar,3,Other,No,NA,Other,Other
96.041625,25.150375,1815,NA,1,15,FALSE,0,potapove@user.com,0,0,NA,9991815,NA,Myanmar,3,Other,No,NA,Other,Other
96.041625,25.150375,1815,NA,1,16,FALSE,0,potapove@user.com,0,0,NA,9991815,NA,Myanmar,3,Other,No,NA,Other,Other
96.041625,25.150375,1815,NA,1,17,FALSE,0,potapove@user.com,0,0,NA,9991815,NA,Myanmar,3,Other,No,NA,Other,Other
96.041625,25.150375,1815,NA,1,18,FALSE,0,potapove@user.com,0,0,NA,9991815,NA,Myanmar,3,Other,No,NA,Other,Other
96.041625,25.150375,1815,NA,1,19,FALSE,0,potapove@user.com,0,0,NA,9991815,NA,Myanmar,3,Other,No,NA,Other,Other
96.041625,25.150375,1815,NA,1,20,FALSE,0,potapove@user.com,0,0,NA,9991815,NA,Myanmar,3,Other,No,NA,Other,Other
96.041625,25.150375,1815,NA,1,21,FALSE,0,potapove@user.com,0,0,NA,9991815,NA,Myanmar,3,Other,No,NA,Other,Other
96.041625,25.150375,1815,NA,1,22,FALSE,0,potapove@user.com,0,0,NA,9991815,NA,Myanmar,3,Other,No,NA,Other,Other
96.041625,25.150375,1815,NA,1,23,FALSE,0,potapove@user.com,0,0,NA,9991815,NA,Myanmar,3,Other,No,NA,Other,Other
96.041625,25.150375,1815,NA,1,24,FALSE,0,potapove@user.com,0,0,NA,9991815,NA,Myanmar,3,Other,No,NA,Other,Other
93.927125,19.804875,1406,Tree_cover_rotation,2,1,FALSE,0,potapove@user.com,0,0,NA,9991406,NA,Myanmar,3,Other Tree,No,NA,Plantation,Forest Commodity
