LON,LAT,PL_ORIGID,Dynamics,PLOT_ID,SAMPLE_ID,FLAGGED,ANALYSES,USER_ID,COLLECTION_TIME,ANALYSIS_DURATION,IMAGERY_TITLE,PL_PLOTID,PL_PACKETID,PL_COUNTRY,PL_STRATUM,LAND COVER,UNDERSTORY PRESENT?,UNDERSTORY COVER,LAND USE,LAND USE YEAR 2000
105.144875,12.829875,20,Tree_cover_rotation,1,1,FALSE,0,potapove@user.com,0,0,NA,9990020,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
105.144875,12.829875,20,Tree_cover_rotation,1,2,FALSE,0,potapove@user.com,0,0,NA,9990020,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
105.144875,12.829875,20,Tree_cover_rotation,1,3,FALSE,0,potapove@user.com,0,0,NA,9990020,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
105.144875,12.829875,20,Tree_cover_rotation,1,4,FALSE,0,potapove@user.com,0,0,NA,9990020,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
105.144875,12.829875,20,Tree_cover_rotation,1,5,FALSE,0,potapove@user.com,0,0,NA,9990020,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
105.144875,12.829875,20,Tree_cover_rotation,1,6,FALSE,0,potapove@user.com,0,0,NA,9990020,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
105.144875,12.829875,20,Tree_cover_rotation,1,7,FALSE,0,potapove@user.com,0,0,NA,9990020,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
105.144875,12.829875,20,Tree_cover_rotation,1,8,FALSE,0,potapove@user.com,0,0,NA,9990020,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
105.144875,12.829875,20,Tree_cover_rotation,1,9,FALSE,0,potapove@user.com,0,0,NA,9990020,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
105.144875,12.829875,20,Tree_cover_rotation,1,10,FALSE,0,potapove@user.com,0,0,NA,9990020,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
105.144875,12.829875,20,Tree_cover_rotation,1,11,FALSE,0,potapove@user.com,0,0,NA,9990020,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
105.144875,12.829875,20,Tree_cover_rotation,1,12,FALSE,0,potapove@user.com,0,0,NA,9990020,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
105.144875,12.829875,20,Tree_cover_rotation,1,13,FALSE,0,potapove@user.com,0,0,NA,9990020,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
105.144875,12.829875,20,Tree_cover_rotation,1,14,FALSE,0,potapove@user.com,0,0,NA,9990020,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
105.144875,12.829875,20,Tree_cover_rotation,1,15,FALSE,0,potapove@user.com,0,0,NA,9990020,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
105.144875,12.829875,20,Tree_cover_rotation,1,16,FALSE,0,potapove@user.com,0,0,NA,9990020,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
105.144875,12.829875,20,Tree_cover_rotation,1,17,FALSE,0,potapove@user.com,0,0,NA,9990020,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
105.144875,12.829875,20,Tree_cover_rotation,1,18,FALSE,0,potapove@user.com,0,0,NA,9990020,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
105.144875,12.829875,20,Tree_cover_rotation,1,19,FALSE,0,potapove@user.com,0,0,NA,9990020,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
105.144875,12.829875,20,Tree_cover_rotation,1,20,FALSE,0,potapove@user.com,0,0,NA,9990020,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
105.144875,12.829875,20,Tree_cover_rotation,1,21,FALSE,0,potapove@user.com,0,0,NA,9990020,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
105.144875,12.829875,20,Tree_cover_rotation,1,22,FALSE,0,potapove@user.com,0,0,NA,9990020,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
105.144875,12.829875,20,Tree_cover_rotation,1,23,FALSE,0,potapove@user.com,0,0,NA,9990020,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
105.144875,12.829875,20,Tree_cover_rotation,1,24,FALSE,0,potapove@user.com,0,0,NA,9990020,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
105.360625,11.939625,37,NA,2,1,FALSE,0,potapove@user.com,0,0,NA,9990037,NA,Vietnam,3,Other,No,NA,Other,Other
105.360625,11.939625,37,NA,2,2,FALSE,0,potapove@user.com,0,0,NA,9990037,NA,Vietnam,3,Other,No,NA,Other,Other
105.360625,11.939625,37,NA,2,3,FALSE,0,potapove@user.com,0,0,NA,9990037,NA,Vietnam,3,Other,No,NA,Other,Other
105.360625,11.939625,37,NA,2,4,FALSE,0,potapove@user.com,0,0,NA,9990037,NA,Vietnam,3,Other,No,NA,Other,Other
105.360625,11.939625,37,NA,2,5,FALSE,0,potapove@user.com,0,0,NA,9990037,NA,Vietnam,3,Other,No,NA,Other,Other
105.360625,11.939625,37,NA,2,6,FALSE,0,potapove@user.com,0,0,NA,9990037,NA,Vietnam,3,Other,No,NA,Other,Other
105.360625,11.939625,37,NA,2,7,FALSE,0,potapove@user.com,0,0,NA,9990037,NA,Vietnam,3,Other,No,NA,Other,Other
105.360625,11.939625,37,NA,2,8,FALSE,0,potapove@user.com,0,0,NA,9990037,NA,Vietnam,3,Other,No,NA,Other,Other
105.360625,11.939625,37,NA,2,9,FALSE,0,potapove@user.com,0,0,NA,9990037,NA,Vietnam,3,Other,No,NA,Other,Other
105.360625,11.939625,37,NA,2,10,FALSE,0,potapove@user.com,0,0,NA,9990037,NA,Vietnam,3,Other,No,NA,Other,Other
105.360625,11.939625,37,NA,2,11,FALSE,0,potapove@user.com,0,0,NA,9990037,NA,Vietnam,3,Other,No,NA,Other,Other
105.360625,11.939625,37,NA,2,12,FALSE,0,potapove@user.com,0,0,NA,9990037,NA,Vietnam,3,Other,No,NA,Other,Other
105.360625,11.939625,37,NA,2,13,FALSE,0,potapove@user.com,0,0,NA,9990037,NA,Vietnam,3,Other,No,NA,Other,Other
105.360625,11.939625,37,NA,2,14,FALSE,0,potapove@user.com,0,0,NA,9990037,NA,Vietnam,3,Other,No,NA,Other,Other
105.360625,11.939625,37,NA,2,15,FALSE,0,potapove@user.com,0,0,NA,9990037,NA,Vietnam,3,Other,No,NA,Other,Other
105.360625,11.939625,37,NA,2,16,FALSE,0,potapove@user.com,0,0,NA,9990037,NA,Vietnam,3,Other,No,NA,Other,Other
